Study_id,Species,Taxonomy,Class_name,Order_name,Family_name,Migratory_behaviour,Biological_archives,Tags_type,N_analysis,Life_stage,Instrument,Ablation_type,Beam_diameter,Beam_interval,Laser_fluence,Scan_speed,Reference_materials,LODs,Recovery_values,Analysis_type,Element_composition,Sample_date,Publication_date,Rawdata_name,Reference
032f819b286fdd6d56e13065970335db35cabf10,Oncorhynchus tshawytscha,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae,Anadromous,Otolith,Trace element,133,Mixed,HR-ICP-MS,Laser ablation,40,NA,NA,30,NIST610,NA,NA,Line,Ba;Ca;Mg;Mn;Sr,2009;2010;2011,2014,Tab.1;Fig.3,"Bourret, S. L.  Kennedy, B. P.  Caudill, C. C.  & Chittaro, P. M. (2014). Using otolith chemical and structural analysis to investigate reservoir habitat use by juvenile Chinook salmon Oncorhynchus tshawytscha. Journal of Fish Biology, 85(5), 1507-1525."
03585e7c10958aaf30517ee7f9fa5737f4b79a67,Salmo trutta,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae,Partial migratory,Scale,Trace element,96,Mixed,LA-ICP-MS,Laser ablation,40,NA,6.5,10,NIST612;MACS-3,NA,NA,Point,Ba;Cu;Mg;Mn;Na;Sr;Zn,1996-2002;2012,2016,Fig.3,"Ryan, D.  Shephard, S.  & Kelly, F. L. (2016). Temporal stability and rates of post-depositional change in geochemical signatures of brown trout Salmo trutta scales. Journal of Fish Biology, 89(3), 1704-1719."
03782acd26e7905aab8f0f5a63effabe482ef2fc,Perca flavescens,Osteichthyes,Actinopterygii,Perciformes,Percidae,Partial migratory,Fin,Stable isotope,24,Juvenile,IRMS,NA,NA,NA,NA,NA,NA,NA,NA,Point,d13C;d15N,2013,2018,Tab.1,"McCloskey, M., Yurkowski, D. J., & Semeniuk, C. A. (2018). Validating fin tissue as a non-lethal proxy to liver and muscle tissue for stable isotope analysis of yellow perch (Perca flavescens). Isotopes in Environmental and Health Studies, 54(2), 196-208."
03782acd26e7905aab8f0f5a63effabe482ef2fc,Perca flavescens,Osteichthyes,Actinopterygii,Perciformes,Percidae,Partial migratory,Liver,Stable isotope,24,Juvenile,IRMS,NA,NA,NA,NA,NA,NA,NA,NA,Point,d13C;d15N,2013,2018,Tab.1,"McCloskey, M., Yurkowski, D. J., & Semeniuk, C. A. (2018). Validating fin tissue as a non-lethal proxy to liver and muscle tissue for stable isotope analysis of yellow perch (Perca flavescens). Isotopes in Environmental and Health Studies, 54(2), 196-208."
03782acd26e7905aab8f0f5a63effabe482ef2fc,Perca flavescens,Osteichthyes,Actinopterygii,Perciformes,Percidae,Partial migratory,Muscle,Stable isotope,24,Juvenile,IRMS,NA,NA,NA,NA,NA,NA,NA,NA,Point,d13C;d15N,2013,2018,Tab.1,"McCloskey, M., Yurkowski, D. J., & Semeniuk, C. A. (2018). Validating fin tissue as a non-lethal proxy to liver and muscle tissue for stable isotope analysis of yellow perch (Perca flavescens). Isotopes in Environmental and Health Studies, 54(2), 196-208."
038000afac3e3d7fd9c4852d227f7c6def151509,Abramis brama,Osteichthyes,Actinopterygii,Cypriniformes,Leuciscidae,Diadromous and potamodromous,Otolith,Trace element,6,Adult,WD-EM,NA,5,10,NA,NA,NA,NA,NA,Line,Ca;Sr,1996;1997,2000,Fig.3;Fig4;Fig5;Fig6,"Kafemann, R.  Adlerstein, S.  & Neukamm, R. (2000). Variation in otolith strontium and calcium ratios as an indicator of life-history strategies of freshwater fish species within a brackish water system. Fisheries Research, 46(1-3), 313-325."
038000afac3e3d7fd9c4852d227f7c6def151509,Sander lucioperca,Osteichthyes,Actinopterygii,Perciformes,Percidae,Potamodromous,Otolith,Trace element,5,Adult,WD-EM,NA,5,10,NA,NA,NA,NA,NA,Line,Ca;Sr,1996;1997,2000,Fig.3;Fig4;Fig5;Fig6,"Kafemann, R.  Adlerstein, S.  & Neukamm, R. (2000). Variation in otolith strontium and calcium ratios as an indicator of life-history strategies of freshwater fish species within a brackish water system. Fisheries Research, 46(1-3), 313-325."
0399e14cf871ad43d7151609fd1e3148da9cf574,Carpiodes carpio,Osteichthyes,Actinopterygii,Cypriniformes,Catostomidae,Partial migratory,Fin ray,Trace element,41,Mixed,LA-ICP-MS,Laser ablation,25,NA,NA,5,MACS-3;NIST1486,NA,NA,Point,Ca;Sr,2012,2022,bt.snyder.2022,"Snyder, C. E., Oliver, D. C., Knights, B. C., Pescitelli, S. M., & Whitledge, G. W. (2022). Assessment of Native Fish Passage through Brandon Road Lock and Dam, Des Plaines River, Illinois, Using Fin Ray Microchemistry. Transactions of the American Fisheries Society, 151(2), 172-184."
0399e14cf871ad43d7151609fd1e3148da9cf574,Carpiodes cyprinus,Osteichthyes,Actinopterygii,Cypriniformes,Catostomidae,Partial migratory,Fin ray,Trace element,24,Mixed,LA-ICP-MS,Laser ablation,25,NA,NA,5,MACS-3;NIST1486,NA,NA,Point,Ca;Sr,2012,2022,bt.snyder.2022,"Snyder, C. E., Oliver, D. C., Knights, B. C., Pescitelli, S. M., & Whitledge, G. W. (2022). Assessment of Native Fish Passage through Brandon Road Lock and Dam, Des Plaines River, Illinois, Using Fin Ray Microchemistry. Transactions of the American Fisheries Society, 151(2), 172-184."
0399e14cf871ad43d7151609fd1e3148da9cf574,Ictalurus punctatus,Osteichthyes,Actinopterygii,Siluriformes,Ictaluridae,Partial migratory,Fin ray,Trace element,75,Mixed,LA-ICP-MS,Laser ablation,25,NA,NA,5,MACS-3;NIST1486,NA,NA,Point,Ca;Sr,2012,2022,bt.snyder.2022,"Snyder, C. E., Oliver, D. C., Knights, B. C., Pescitelli, S. M., & Whitledge, G. W. (2022). Assessment of Native Fish Passage through Brandon Road Lock and Dam, Des Plaines River, Illinois, Using Fin Ray Microchemistry. Transactions of the American Fisheries Society, 151(2), 172-184."
